product_format,review_volume,average_rating,positive_share,negative_share,share_of_reviews
eau_de_parfum,5720,4.067832167832168,0.7421328671328671,0.18496503496503497,0.39052365672151296
cologne,2275,4.174945054945055,0.7723076923076924,0.16,0.155321908923329
body_mist,1640,4.302439024390244,0.8067073170731708,0.1469512195121951,0.1119683211579163
other_fragrance,1459,4.117888965044551,0.7559972583961617,0.16312542837559973,0.09961084181060968
eau_de_toilette,1406,4.273826458036984,0.8029871977240398,0.14793741109530584,0.09599235338294532
sample_or_travel,872,3.8394495412844036,0.680045871559633,0.24426605504587157,0.05953437564006281
fragrance_oil,855,3.950877192982456,0.7076023391812866,0.20935672514619882,0.05837372840854783
gift_set,420,4.29047619047619,0.8047619047619048,0.14285714285714285,0.028674813955076126
