repurchase_intent,review_volume,average_rating,positive_share,negative_share,share_of_reviews
not_explicit,13505,4.0955942243613475,0.749870418363569,0.18082191780821918,0.9744570315318566
positive,316,4.4335443037974684,0.8417721518987342,0.10759493670886076,0.02280106789811675
negative,38,1.5789473684210527,0.0,0.8157894736842105,0.0027419005700266975
