price_band,review_volume,product_count,average_rating,positive_share,negative_share,price_discussion_share,repurchase_positive
Under $25,4155,537,4.029602888086643,0.7282791817087846,0.20240673886883273,0.14223826714801444,95
$25–49,2476,388,4.143780290791599,0.7665589660743134,0.1680129240710824,0.1421647819063005,51
$50–99,1226,176,4.238172920065253,0.7920065252854812,0.1468189233278956,0.1468189233278956,37
$100+,197,69,4.223350253807107,0.7817258883248731,0.14720812182741116,0.14213197969543148,6
